name,link,logo,description,is_active,category,id,created_date,updated_date,created_by_id,created_by,is_sample
"Loccitane Au Bresil","https://tidd.ly/4li0a48","https://base44.app/api/apps/6989205392f69694df37d205/files/public/6989205392f69694df37d205/bfc38a53a_17631.png","","true","outros","69ad9b859442ebe06b6576fb","2026-03-08T15:53:41.753000","2026-03-08T15:53:41.753000","6989205392f69694df37d206","mari@metalon.com.br","false"
"SCHUTZ","https://tidd.ly/4sSpNez","https://base44.app/api/apps/6989205392f69694df37d205/files/public/6989205392f69694df37d205/e0b805824_80302.png","","true","calcados","69ad986c26e6d04c085ba8e1","2026-03-08T15:40:28.522000","2026-03-08T15:40:28.522000","6989205392f69694df37d206","mari@metalon.com.br","false"
"Renner Favoritos ","https://tidd.ly/4lla4lx","https://base44.app/api/apps/6989205392f69694df37d205/files/public/6989205392f69694df37d205/0cbe603db_70694.png","","true","roupas","69ad980d0bdea944e8b63388","2026-03-08T15:38:53.713000","2026-03-08T15:38:53.713000","6989205392f69694df37d206","mari@metalon.com.br","false"
"Iplace","https://tidd.ly/4ubPRCB","https://base44.app/api/apps/6989205392f69694df37d205/files/public/6989205392f69694df37d205/0c0650d33_31355.png","Representante Apple Brasil","true","outros","69ad97bd38f66671c23fb3dc","2026-03-08T15:37:33.799000","2026-03-08T15:37:33.799000","6989205392f69694df37d206","mari@metalon.com.br","false"
"Maria Filó","https://tidd.ly/3OOm2YO","https://base44.app/api/apps/6989205392f69694df37d205/files/public/6989205392f69694df37d205/1cc6e11a9_116455.png","","true","roupas","69ad9710df33c19a612ccd73","2026-03-08T15:34:40.333000","2026-03-08T15:34:40.333000","6989205392f69694df37d206","mari@metalon.com.br","false"
"INTIMISSI","https://tidd.ly/3OxCZqd","https://base44.app/api/apps/6989205392f69694df37d205/files/public/6989205392f69694df37d205/e29b2a1e6_70965.png","LINGERIE E CAMISOLAS","true","outros","699f23147cfabacf1b213003","2026-02-25T16:28:04.690000","2026-02-25T16:28:04.690000","6989205392f69694df37d206","mari@metalon.com.br","false"
"AMOBELEZA","https://tidd.ly/4aDXJ8s","https://base44.app/api/apps/6989205392f69694df37d205/files/public/6989205392f69694df37d205/35599a85f_100869.png","","true","maquiagem","699f22a5322104ef87d294a8","2026-02-25T16:26:13.847000","2026-02-25T16:26:13.847000","6989205392f69694df37d206","mari@metalon.com.br","false"
"ANIMALE","https://tidd.ly/4kTulhL","https://base44.app/api/apps/6989205392f69694df37d205/files/public/6989205392f69694df37d205/992668fe4_104715.png","","true","roupas","699f22270675af3f8fb04f23","2026-02-25T16:24:07.909000","2026-02-25T16:24:07.909000","6989205392f69694df37d206","mari@metalon.com.br","false"
"Diesel","https://br.diesel.com/","https://base44.app/api/apps/6989205392f69694df37d205/files/public/6989205392f69694df37d205/c6f99ea12_logo-header-desktop-tranparente___fc5f9dafb59f6b83b74d2a4897a906c1.svg","","true","roupas","699f21c778f6a5a481e5eb00","2026-02-25T16:22:31.403000","2026-02-25T16:22:31.403000","6989205392f69694df37d206","mari@metalon.com.br","false"
"Calvin Klein","https://tidd.ly/3P0e66y","https://base44.app/api/apps/6989205392f69694df37d205/files/public/6989205392f69694df37d205/38356f56f_100553.png","","true","roupas","699f2170237131b8c113495c","2026-02-25T16:21:04.340000","2026-02-25T16:21:04.340000","6989205392f69694df37d206","mari@metalon.com.br","false"
"Jo Malone","https://tidd.ly/46nzZ5Y","https://base44.app/api/apps/6989205392f69694df37d205/files/public/6989205392f69694df37d205/1145cb3e0_22390.png","Perfumes e Casa","true","outros","699f20fb0a705e59c6935194","2026-02-25T16:19:07.321000","2026-02-25T16:19:07.321000","6989205392f69694df37d206","mari@metalon.com.br","false"
"GOCASE","https://tidd.ly/4rBMTFK","https://base44.app/api/apps/6989205392f69694df37d205/files/public/6989205392f69694df37d205/81efa6cc6_17814.png","Acessórios de informática","true","outros","699f11cab5fbcd55f6b7cc86","2026-02-25T15:14:18.364000","2026-02-25T15:14:18.364000","6989205392f69694df37d206","mari@metalon.com.br","false"
"Estée Lauder BR","https://tidd.ly/4kVriWt","https://base44.app/api/apps/6989205392f69694df37d205/files/public/6989205392f69694df37d205/cd4b700c5_26877.png","","true","maquiagem","699f11064ab1ebdbb3d67cdd","2026-02-25T15:11:02.964000","2026-02-25T15:11:36.534000","6989205392f69694df37d206","mari@metalon.com.br","false"
"ZZMALL","https://zzmall.com.br?influ=marrymiele","","","true","roupas","699cc734d07648241fd545bd","2026-02-23T21:31:32.763000","2026-02-23T21:31:32.763000","6989205392f69694df37d206","mari@metalon.com.br","false"
"Vivara","https://tidd.ly/4rBLLCe","https://base44.app/api/apps/6989205392f69694df37d205/files/public/6989205392f69694df37d205/6d3e8ebc0_17662.png","","true","joias","699cb44bf9d38560dd9a3b39","2026-02-23T20:10:51.279000","2026-02-23T20:25:54.557000","6989205392f69694df37d206","mari@metalon.com.br","false"
"Beleza na Web","https://tidd.ly/4s73l0v","https://base44.app/api/apps/6989205392f69694df37d205/files/public/6989205392f69694df37d205/e550ce702_29407.png","Maquiagem, cosméticos, calelos...","true","maquiagem","699cb3c8c448f3eceb622661","2026-02-23T20:08:40.951000","2026-02-23T20:27:45.559000","6989205392f69694df37d206","mari@metalon.com.br","false"
"Nike","https://tidd.ly/46l6DFb","","Esportivas","true","roupas","699cb3709bfc2b5b1582fc10","2026-02-23T20:07:12.186000","2026-02-23T20:07:12.186000","6989205392f69694df37d206","mari@metalon.com.br","false"
"Monte Carlo","https://tidd.ly/3ZNT39L","https://base44.app/api/apps/6989205392f69694df37d205/files/public/6989205392f69694df37d205/e63388a45_100451.png","","true","joias","699cb329bbf7674c739b813c","2026-02-23T20:06:01.583000","2026-02-23T20:24:50.933000","6989205392f69694df37d206","mari@metalon.com.br","false"
